Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course,Attraction_Link,Dish_Link
South,Karnataka,Mysore,Mysore Palace,2.0,4.6,50.0,Historical,Yes,All,Oct–Mar,Mysore Airport (MYQ),250000,Mangalore Buns,Veg,Fried Banana Puri,Snack,https://drive.google.com/uc?export=view&id=1bPzLIWtOlVUmjpxatlWTf1QnBrRvAkv0,https://drive.google.com/uc?export=view&id=1LqtItpT9Wf_IDMXWueVQqFgeqeCYe2r1
South,Kerala,Thekkady,Periyar National Park,3.0,4.3,50.0,Wildlife,Yes,All,Nov–Feb,Madurai International Airport (IXM),14000,Kappa and Meen Curry,Non Veg,Tapioca + Fish,Main Course,https://drive.google.com/uc?export=view&id=1a3PUHfeVmFPhIPMEhKIpdOhFDwZ7TZnx,https://drive.google.com/uc?export=view&id=1Mr3CM0TqrmA354v-S36E8V3P_fgviq8n
South,Kerala,Wayanad,Wayanad Wildlife Sanctuary,3.0,4.5,300.0,Wildlife,Yes,All,Nov–Feb,Cochin International Airport (COK),220000,Erissery,Veg,Pumpkin & Lentil,Main Course,https://drive.google.com/uc?export=view&id=1KlXwP-8xx1275ZNrHA9ep81PKYcVesyh,https://drive.google.com/uc?export=view&id=1IeWl_7fHBNnRVr2J_iZGbGs3JLL3B8mp
South,Kerala,Kozhikode,Kozhikode Beach,1.5,3.9,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),5900,Parippu Curry,Veg,Dal,Main Course,https://drive.google.com/uc?export=view&id=1Wf4OGtXf70NtkRxXn-BK_AkTn7qttbiN,https://drive.google.com/uc?export=view&id=1Bx1fQBUplT1iKIhXkzOIdawc_AydDLqn
South,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Trivandrum International Airport (TRV),46000,Idiyappam,Veg,String Hoppers,Breakfast,https://drive.google.com/uc?export=view&id=1rxNo4C-gHUa3F71siz4vkbfxsnB_KY8y,https://drive.google.com/uc?export=view&id=1aKcJcHvnf7f1GXAWUwIw7zvU-VFNI2wm
South,Kerala,Kovalam,Kovalam Beach,2.0,4.4,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),68000,Unniyappam,Veg,Sweet Snack,Dessert,https://drive.google.com/uc?export=view&id=1WasaW0zfuXvSVnG2sfE_RoDO7pnkjPNE,https://drive.google.com/uc?export=view&id=1jqIyYeaQtb39O-YaDQy4k9bCCems3rga
South,Kerala,Munnar,Munnar Tea Gardens,2.0,4.3,0.0,Nature,Yes,All,Oct–Mar,Cochin International Airport (COK),30000,Kerala Fish Curry,Non Veg,Fish Curry,Main Course,https://drive.google.com/uc?export=view&id=1AEgf_jGnW1eaSFl9Gn8k73n03qJZVaBR,https://drive.google.com/uc?export=view&id=1waAsR9q6OzEOw4_EGGpVYEfMXpLdwKDy
South,Kerala,Alappuzha,Alappuzha Beach,1.5,4.5,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),11000,Appam with Stew,Veg,Rice Pancake + Veg Stew,Breakfast,https://drive.google.com/uc?export=view&id=1EiIuuIsF3_mRbKxK3wM7xI3fFkRPV-2p,https://drive.google.com/uc?export=view&id=1gqPHrSF6dTIQPofufU9Dq9ly8sfummd8
South,Kerala,Kochi,LuLu International Shopping Mall,3.0,4.6,0.0,Shopping,Yes,All,Nov–Feb,Cochin International Airport (COK),190000,Karimeen Pollichathu,Non Veg,Pearl Spot in Banana Leaf,Main Course,https://drive.google.com/uc?export=view&id=1PQo-gnw9zYmmjdTQtCmolQdj66L3dySL,https://drive.google.com/uc?export=view&id=1ieqOseVUPTOxEZP9ZLgTGq-67cqBINDo
South,Kerala,Varkala,Varkala Beach,2.0,4.6,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Pazham Pori,Veg,Banana Fritter,Snack,https://drive.google.com/uc?export=view&id=1kG1jaJASRV013xdT6zEA3mmbTAm-XrWf,https://drive.google.com/uc?export=view&id=1ThrCYgjXHbPS_E67Bliy2t9e0Bu9_s-n
South,Kerala,Kochi,Fort Kochi,1.0,4.4,0.0,Historical,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Puttu and Kadala Curry,Veg,Steamed Rice Cake + Chickpeas,Breakfast,https://drive.google.com/uc?export=view&id=1dbO1RhPwHjohT-rqpp-mIU-c6mT3GetG,https://drive.google.com/uc?export=view&id=1PIyCLaf3JhxxMYJqzKS0WeYp5X9Hu33B
South,Kerala,Bekal,Bekal Fort,1.5,4.5,20.0,Historical,Yes,All,Nov–Feb,Cochin International Airport (COK),22000,Ada Pradhaman,Veg,Payasam,Dessert,https://drive.google.com/uc?export=view&id=1I91s7z6mfvpETCd_gyZOnWE-jZK-xYzA,https://drive.google.com/uc?export=view&id=14ffaAj4tbFo1CwSK31cF5azFHtr41F_8
South,Kerala,Kannur,St. Angelo Fort,1.0,4.4,20.0,Historical,Yes,All,Nov–Feb,Cochin International Airport (COK),11000,Malabar Parotta with Beef/Chicken Curry,Non Veg,Bread + Curry,Main Course,https://drive.google.com/uc?export=view&id=1EJYTeaIvafi8e_PosUJmKnTy2Y_Ep_UU,https://drive.google.com/uc?export=view&id=1za7wRdORZC9vG3eTt7jzKm1__CplUoKD
South,Kerala,Kumarakom,Kumarakom Bird Sanctuary,2.0,3.8,50.0,Wildlife,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Nadan Beef Fry,Non Veg,Beef Fry,Main Course,https://drive.google.com/uc?export=view&id=1CY6qGhYS9oLzua5HlAZc3oKh2LS-VHo2,https://drive.google.com/uc?export=view&id=1mFsoTjPAST9O3pOFyNBwngw76OojI_Dz
South,Kerala,Nelliyampathy,Seethargundu Viewpoint,1.0,4.5,0.0,Nature,Yes,Morning,Nov–Feb,Cochin International Airport (COK),3000,Vegetable Stew,Veg,Coconut Milk Stew,Main Course,https://drive.google.com/uc?export=view&id=1xxU_yNyRg9KxZOJO_JumJDJRxjrqBcAC,https://drive.google.com/uc?export=view&id=1nRiJIB-3v5gTXnKVoXZ0VNgrm-M0ML_i
South,Kerala,Kochi,Kerala Folklore Museum,1.5,4.4,100.0,Cultural,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Avial,Veg,Mixed Veg Curry,Main Course,https://drive.google.com/uc?export=view&id=1PGcOA7bb9d58fUl2c0oBuA9FdgN0Yh9n,https://drive.google.com/uc?export=view&id=1MChOC9Vh2IWY5dVViB9pfBqW6vajHRL1
South,Kerala,Kochi,Wonderla Amusement Park,5.5,4.6,750.0,Entertainment,Yes,All,Nov–Feb,Cochin International Airport (COK),41000,Thalassery Biryani,Non Veg,Biryani,Main Course,https://drive.google.com/uc?export=view&id=17Q_D5DeW59xw49ZH1M9JVAD0omfJj5gN,https://drive.google.com/uc?export=view&id=1gEJ-gme-4tec-A5q82Qgepg3xeerS74n
North,Ladakh,Leh,Thiksey Monastery,1.5,4.7,20.0,Religious,No,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),5000,Momos,Veg/Non Veg,Steamed Dumplings,Snack,https://drive.google.com/uc?export=view&id=16OqVZv55sxTKIKjmQsbCnNFjPw7pPDBp,https://drive.google.com/uc?export=view&id=1PRDVhl8TDWVV5Q2wJvZDn6bo0Z9EmwVz
North,Ladakh,Nubra Valley,Nubra Valley,2.0,4.5,0.0,Nature,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),10000,Tingmo,Veg,Soft steamed bread served with curry or stew,Side/Main Course,https://drive.google.com/uc?export=view&id=1GR6ForHPdKw2vylpheYGxXwRM2v_JUXn,https://drive.google.com/uc?export=view&id=1SyW9ypJrU7VWiomukPpm_WEZH5Lh8LDb
North,Ladakh,Kargil,Kargil War Memorial,1.0,4.8,0.0,Historical,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),1100,Skyu,Veg/Non Veg,Pasta-like Stew,Main Course,https://drive.google.com/uc?export=view&id=16MsolA_GZHpy-1L_NtEHDgFWzMREYqZP,https://drive.google.com/uc?export=view&id=1hl1MqYxjj_Q5xU0AQ-JOvarerK8P0DuF
North,Ladakh,Leh,Pangong Tso,2.0,4.9,20.0,Nature,Yes,Morning,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),15000,Thukpa,Veg/Non Veg,Noodle Soup,Main Course,https://drive.google.com/uc?export=view&id=1yjh3Iz0tnd_ebFHSThwcDlE_hCBwhvci,https://drive.google.com/uc?export=view&id=1f9P4sDE_uzXfqm3-32t7yXr1TTRjWzPc
North,Ladakh,Diskit,Diskit Monastery,1.0,4.7,20.0,Religious,No,Morning,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),1500,Khambir,Veg,Traditional whole wheat flatbread served with butter tea or curries,Side Dish,https://drive.google.com/uc?export=view&id=1paZq9193n-fL_ukhn5H8uf2H70pqE9ox,https://drive.google.com/uc?export=view&id=1tUHP3bzHbD4VllEkFjO00F2C6VKKBy2n
North,Ladakh,Hemis,Hemis National Park,4.0,4.4,20.0,Wildlife,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),2000,Chhang,Veg,Mild alcoholic barley drink popular during festivals,Beverage,https://drive.google.com/uc?export=view&id=1ws0nfjqgSQmEtV1ZO-wTiUka9eSrOBwH,https://drive.google.com/uc?export=view&id=15ZMlromjRhZdKAkLOLAC_tGV9p2VuSb4
North,Ladakh,Dras,Dras War Memorial,1.0,4.8,0.0,Historical,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),1200,Butter Tea,Veg,Salty tea made with yak butter and milk,Beverage,https://drive.google.com/uc?export=view&id=1UAN57ZuHT4W2AaGSHxh9hwz30O2NbKG_,https://drive.google.com/uc?export=view&id=1sSCkk036aNLuvQjq6fsbhP0jJRA_Opfp
North,Ladakh,Leh,Magnetic Hill,0.5,3.7,0.0,Nature,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),10000,Apricot Jam,Veg,Locally made sweet jam from Ladakh’s famous apricots,Dessert/Sweet,https://drive.google.com/uc?export=view&id=165uN4KnX310RbCyr4c-AI1EBIUd6e1Jq,https://drive.google.com/uc?export=view&id=1avgbBulEa6sKRPFLu1Yl0Jcj-8HCavXM
North,Ladakh,Leh,Khardung La Pass,1.0,4.5,0.0,Adventure,Yes,Afternoon,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),5000,Mutton Curry,Non Veg,Spicy,Main Course,https://drive.google.com/uc?export=view&id=1qbeu_79sQ9sd6uNUsW63kBU9o-CAYBDV,https://drive.google.com/uc?export=view&id=1pLtcOce4hGhyOfOj5HJdtqXdlU-SGTIh
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,3.0,4.5,50.0,Wildlife,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),5000,Jalebi,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1fIkJZTU2XB9LtsyAgPKxvtRc-rPceMcM,https://drive.google.com/uc?export=view&id=1CxF5gMcfidy28lGycBoADWD-Gk1lB6VK
Central,Madhya Pradesh,Bhopal,Tribal Museum,2.0,4.7,10.0,Cultural,Yes,All,Oct–Mar,Raja Bhoj Airport (BHO),15000,Bhutte Ka Kees,Veg,Grated Corn Snack,Snack,https://drive.google.com/uc?export=view&id=1ZMbnvoWuGDkznfCpVFRh382hb2d2d7TX,https://drive.google.com/uc?export=view&id=14UiH75kJGOdazxQYCe7A88TEQKNbEb2U
Central,Madhya Pradesh,Orchha,Orchha Fort,1.5,4.8,10.0,Historical,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),10000,Indori Namkeen Mix,Veg,Snack,Snack,https://drive.google.com/uc?export=view&id=14-7Dq4nwC4Uw-l6RiIaZ5cnsUmv3h_g3,https://drive.google.com/uc?export=view&id=1gRsn7tCrYchGgfz4BMKf2dtHn1RQIDy6
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,1.0,4.5,0.0,Nature,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),1000,Rogan Josh,Non Veg,Mutton Curry,Main Course,https://drive.google.com/uc?export=view&id=1wU36XZF-h1uEGqj9DQP6wHacRo9ye7q-,https://drive.google.com/uc?export=view&id=1s-fKT8y3laDYt8ZtHbi1RAuVFSkQlooA
Central,Madhya Pradesh,Mandu,Jahaz Mahal,1.0,3.9,50.0,Historical,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),3000,Bafla with Ghee,Veg,Bread Dish,Main Course,https://drive.google.com/uc?export=view&id=1IiJL_FL54BqtS3L3rCoYcwZsE8YBpUTQ,https://drive.google.com/uc?export=view&id=1DU8PXwJM3ns3Igm2HjTOTvFeT--gYeT7
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,2.0,4.6,25.0,Archaeological,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),7000,Chicken Rezala,Non Veg,Chicken Curry,Main Course,https://drive.google.com/uc?export=view&id=1B1_4pZt3hmvORrRsiSKGeXl6CrEC2D8F,https://drive.google.com/uc?export=view&id=1na-YGL9Jcv-r3zX6AR9k1tIqhsUxhNu-
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,1.0,4.4,0.0,Religious,Yes,All,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),1000,Gajak,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=14l5ahF5GClbMoWZ2gpJq75r73TdrhCWM,https://drive.google.com/uc?export=view&id=1yGs_Of_zdK0LqZuhTBvUvKLMVbube0Yp
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,1.5,4.4,0.0,Nature,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),10000,Khopra Patties,Veg,Coconut Cutlets,Snack,https://drive.google.com/uc?export=view&id=1lQOLJ4u8xIuFPEka_tjIAxtuwoZUOMy2,https://drive.google.com/uc?export=view&id=1-PWeWtPwhBRJdvt0LTtbw6zKZ558x4Hk
Central,Madhya Pradesh,Kanha,Kanha National Park,3.0,4.5,100.0,Wildlife,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),10000,Mawa Bati,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1wcxkU6R15W38MwVrmn5JdIxl_h3_WFYB,https://drive.google.com/uc?export=view&id=1DvrARutT7Aput4a9RsfHpOiK7xl3049-
Central,Madhya Pradesh,Pachmarhi,Bee Falls,1.5,4.6,15.0,Nature,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),6500,Shikanji (Indore sweet drink),Veg,Drink/Dessert,Dessert,https://drive.google.com/uc?export=view&id=1K5B4y9K1WVu4UcWNpsrCX49Zxu6XqfUF,https://drive.google.com/uc?export=view&id=1ScJOC8K2sY_RC-3TC8cswfJkav0SG5N2
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,1.5,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Raja Bhoj Airport (BHO),1000,Dal Bafla,Veg,Wheat Dumplings + Dal,Main Course,https://drive.google.com/uc?export=view&id=14H2iPpxiVNLyOoDGTr8hq-yzcKsW9Ww5,https://drive.google.com/uc?export=view&id=118OTo6ZwZa9wUtO6WcKHd9e-K0tiZWAk
Central,Madhya Pradesh,Indore,Rajwada Palace,1.0,4.4,10.0,Historical,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),63000,Gosht Korma,Non Veg,Mutton Curry,Main Course,https://drive.google.com/uc?export=view&id=1lmEZ0SObGeebwC3Y56Dmg8LbQYJF2ZWJ,https://drive.google.com/uc?export=view&id=1c939jNFm9V-YU7KyM39bYHz6zE9CBNEj
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,2.0,4.7,40.0,Cultural,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),9000,Poha-Jalebi,Veg,Breakfast Combo,Breakfast,https://drive.google.com/uc?export=view&id=1xWWT01OUUN6mUq6ltC5mfDL01R9Ly6QO,https://drive.google.com/uc?export=view&id=1-_EAH7wfKlm7Dez7k78Q1OGjY1V-8ixH
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,1.5,4.8,0.0,Religious,No,All,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),120000,Sabudana Khichdi,Veg,Sago Khichdi,Main Course,https://drive.google.com/uc?export=view&id=1uhE_hP_0kzAZDx7xPGw-MOfBF2vGEjBG,https://drive.google.com/uc?export=view&id=1wIyhjWL4zbDsyGzgtLBRlAgtV6PeRpiB
Central,Madhya Pradesh,Gwalior,Gwalior Fort,2.5,4.5,75.0,Historical,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),40000,Seekh Kebabs,Non Veg,Grilled Meat,Snack,https://drive.google.com/uc?export=view&id=1VJwRh2Cr8pcrGE3JLrLusWJZTCrmPeEr,https://drive.google.com/uc?export=view&id=1sPduA6D0juAudAe6CE7eMpD3J_-Acl87
West,Maharashtra,Nashik,Sula Vineyards,2.0,4.1,300.0,Recreational,Yes,Afternoon,Oct–Mar,Nashik Airport (ISK),10000,Chicken/Mutton Sukka,Non Veg,Dry Curry,Main Course,https://drive.google.com/uc?export=view&id=1Dt1iRhaDcZu95biKWknVU-mhSjEugrBJ,https://drive.google.com/uc?export=view&id=1rj5HJ8o65txxgIu7Pu_-moAMTk4SxyQu
West,Maharashtra,Mumbai,Marine Drive,2.0,4.5,0.0,Scenic,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),150000,Misal Pav,Veg,Spicy Sprouts Curry + Bread,Breakfast,https://drive.google.com/uc?export=view&id=1SwxfONaJyHq5z8c9tsySym84hH9s83sY,https://drive.google.com/uc?export=view&id=1Vi8-fyickbLd71cH2LOcDFmZHPiUtEiU
West,Maharashtra,Shirdi,Sai Baba Temple,1.5,4.7,0.0,Religious,No,All,Oct–Mar,Shirdi Airport (SAG),69000,Shirdi Prasadam Thali,Veg,"Simple wholesome vegetarian thali served as temple prasad with dal, roti, rice, sabzi and kheer",Main Course  ,https://drive.google.com/uc?export=view&id=1Pn2jXcOMCq7xpXfnNMTgqxRYtj-Wzm8Y,https://drive.google.com/uc?export=view&id=1YKPcMW-bRqG_toBR0VQJxoF4uK-UNPKW
West,Maharashtra,Pune,Shaniwar Wada,2.0,4.4,50.0,Historical,Yes,All,Nov–Feb,Pune International Airport (PNQ),120000,Thalipeeth,Veg,Multigrain Flatbread,Main Course,https://drive.google.com/uc?export=view&id=1HR6Zi96XtBsemHCd3_tbAsBeMnmemRob,https://drive.google.com/uc?export=view&id=1eAMRFPxoOCMf9h7cnUPfM-t9kJlAXCzB
West,Maharashtra,Aurangabad,Ajanta Caves,3.0,4.6,30.0,Historical,Yes,Afternoon,Oct–Mar,Chhatrapati Sambhaji Nagar Airport (IXU),21000,Poha,Veg,Flattened Rice,Breakfast,https://drive.google.com/uc?export=view&id=1sjMv_Who3B_KTwrPzWBXqxE8N9gZ77nH,https://drive.google.com/uc?export=view&id=1GJprPc52w4hJTQ5Ntaf0ygCR9jDoXcOh
West,Maharashtra,Alibaug,Alibaug Beach,1.5,4.2,0.0,Recreational,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),5000,Kanda Bhaji,Veg,Onion Fritters,Snack,https://drive.google.com/uc?export=view&id=1YsK2R9Vq-wCFoCQdgePYTYyM9UOX8wFq,https://drive.google.com/uc?export=view&id=1L1bvinxzctP0CbDde-XTUIvSBxZkDB4_
West,Maharashtra,Ratnagiri,Ganpatipule Temple,1.0,4.7,0.0,Religious,No,All,Oct–Mar,Ratnagiri Airport (RTC),10000,Mutton Ukkad,Non Veg,Stew,Main Course,https://drive.google.com/uc?export=view&id=1Q8tW1L3u4NQYa4crYiKSeQjYxiWouKTu,https://drive.google.com/uc?export=view&id=1BzT-RyRtOig2Fo2XU1he-hm7vp8CYyzy
West,Maharashtra,Nagpur,Deekshabhoomi,1.0,4.5,0.0,Religious,Yes,Afternoon,Oct–Mar,Dr. Babasaheb Ambedkar International Airport (NAG),11000,Koliwada Prawns,Non Veg,Fried Prawns,Snack,https://drive.google.com/uc?export=view&id=1AaBO-2vg9BMw9kdV-RiKEntY3-lC9sP1,https://drive.google.com/uc?export=view&id=1QMk-2GeBK8ETnsUCC2F_jKHlFe_SJ8gx
West,Maharashtra,Mumbai,Gateway of India,1.0,4.6,0.0,Historical,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),360000,Vada Pav,Veg,Potato Fritter Bun,Snack,https://drive.google.com/uc?export=view&id=1mNox7v3vrWTDY87tGwk5K61gCrDVhov9,https://drive.google.com/uc?export=view&id=1On1zc2abuqDsSN2vdOSbmdxp-_ly5qY0
West,Maharashtra,Matheran,Echo Point,1.5,4.4,0.0,Nature,Yes,Morning,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),2000,Zunka Bhakri,Veg,Gram flour curry served with jowar flatbread,Main Course,https://drive.google.com/uc?export=view&id=1xcAcBITslimHqBlwQ_rPcbwKepqQ1BfH,https://drive.google.com/uc?export=view&id=16ffEQy8tKc2FtCbhEaupq3h-pQOLZK2V
West,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,1.0,4.6,500.0,Historical,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),34000,Pandra Rassa (Kolhapuri),Non Veg,White Curry,Main Course,https://drive.google.com/uc?export=view&id=1h-h-8BHayKM6YRlHEg1bo1GbRXDsvchK,https://drive.google.com/uc?export=view&id=1dxaDRcUJ8qWm-2W3kmdKGexbfTyGwFmD
West,Maharashtra,Satara,Kaas Plateau,2.0,4.4,300.0,Nature,Yes,Afternoon,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),5000,Vada Pav,Veg,Potato Fritter Bun,Snack,https://drive.google.com/uc?export=view&id=11DqBs8j2hF1WXRScsnIVuVHPPb7cSFQU,https://drive.google.com/uc?export=view&id=1On1zc2abuqDsSN2vdOSbmdxp-_ly5qY0
West,Maharashtra,Mumbai,Sanjay Gandhi National Park,3.0,4.3,50.0,Wildlife,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),60000,Tambda Rassa (Kolhapuri),Non Veg,Red Curry,Main Course,https://drive.google.com/uc?export=view&id=1MUFYmrCEOgziPBXGb2miwlrl9oviRk7t,https://drive.google.com/uc?export=view&id=1dxaDRcUJ8qWm-2W3kmdKGexbfTyGwFmD
West,Maharashtra,Mumbai,Siddhivinayak Temple,2.0,4.8,0.0,Religious,No,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),105000,Modak,Veg,Sweet Dumpling,Dessert,https://drive.google.com/uc?export=view&id=1cBO-RejyQm0pqszRFpOKvkVpm5FS-3Vg,https://drive.google.com/uc?export=view&id=1SX1I_YDu7_Xufjezn36DE9oLJ6jpGube
West,Maharashtra,Ajanta,Ellora Caves,3.0,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Chhatrapati Shivaji Maharaj International Airport (BOM),49000,Sabudana Khichdi,Veg,Fasting Dish,Main Course,https://drive.google.com/uc?export=view&id=1TfkLKdHCGSGzUYMJIB6ljquqFszl86_K,https://drive.google.com/uc?export=view&id=1wIyhjWL4zbDsyGzgtLBRlAgtV6PeRpiB
West,Maharashtra,Mumbai,Mahalaxmi Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),33000,Bharli Vangi,Veg,Stuffed Brinjal,Main Course,https://drive.google.com/uc?export=view&id=1pwlcjNWm7n3X8pYNHhaAYp674kEMDTSU,https://drive.google.com/uc?export=view&id=1DHUxb0GZcuZu3ws62giCeYYdjf3Pxcdr
West,Maharashtra,Mumbai,Essel World,5.0,4.3,1149.0,Recreational,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),27000,Pav Bhaji,Veg,Mashed Veg Curry + Bread,Main Course,https://drive.google.com/uc?export=view&id=1Q8TrDG7nCzQSyDJXx3W-C7JgNPbKRAIm,https://drive.google.com/uc?export=view&id=1D5KtwyYiAlgQ9cE0YGSs1Iw6ZYvuRaLd
West,Maharashtra,Mumbai,Elephanta Caves,4.0,4.3,550.0,Historical,Yes,All ,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),35000,Solkadhi,Veg,Coconut Kokum Drink,Drink,https://drive.google.com/uc?export=view&id=16froGZex1dSRU8l70UrWx3CSWXcod4_b,https://drive.google.com/uc?export=view&id=1aqgCjDFA8H-RmDThUo6bMcFv-LnIX0li
West,Maharashtra,Lonavala,Imagicaa,5.0,1.4,1149.0,Recreational,Yes,All,Nov–Feb,Pune International Airport (PNQ),95000,Puran Poli,Veg,Sweet Flatbread,Dessert,https://drive.google.com/uc?export=view&id=1LkzgKRRohxpRg2-Q6qDozTFgNjA8xw31,https://drive.google.com/uc?export=view&id=1_AOcBuTtc4XfpB3ZW9kfDZRMvYhhlSNS
West,Maharashtra,Tarkarli,Tarkarli Beach,2.0,4.6,0.0,Recreational,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),6500,Kombdi Vade,Non Veg,Chicken + Fried Bread,Main Course,https://drive.google.com/uc?export=view&id=1UsMrmLQcev73d9bE_AUyCPMDL5VB67Mp,https://drive.google.com/uc?export=view&id=1dqOIiBFpOimLwjknyQplBioZzQaeZiG9
West,Maharashtra,Lonavala,Karla Caves,1.5,4.4,25.0,Historical,Yes,Afternoon,Nov–Feb,Pune International Airport (PNQ),27000,Ragda Pattice,Veg,Street Snack,Snack,https://drive.google.com/uc?export=view&id=1WkOmRCaBG79DUiZicuTgl9rGUUZmEc0P,https://drive.google.com/uc?export=view&id=1hWTU3lT0KKYD2bBT-yHiUqrf6D0L9Ipk
West,Maharashtra,Kolhapur,Mahalakshmi Temple,1.0,4.8,0.0,Religious,No,All,Oct–Mar,Chhatrapati Rajaram Maharaj Airport (KLH),90000,Shrikhand,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1_vp-pSzoKPa1viCTFo8rIiph4VGltc37,https://drive.google.com/uc?export=view&id=1AAka0aiN5Lt_9VQb-IH0W6o4KkUpjMle
West,Maharashtra,Mumbai,Haji Ali Dargah,2.0,4.4,0.0,Religious,No,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),16000,Seekh Kebabs,Non-Veg,Juicy minced meat skewers grilled with aromatic spices and served with chutney,Main Course,https://drive.google.com/uc?export=view&id=1hbucBuzpuuc25RYydaE-UTeLPdnCZoks,https://drive.google.com/uc?export=view&id=1sPduA6D0juAudAe6CE7eMpD3J_-Acl87
West,Maharashtra,Mumbai,Chowpatty Beach,2.0,4.3,0.0,Recreational,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),5000,Bombay Duck Fry (Bombil),Non Veg,Fish Fry,Snack,https://drive.google.com/uc?export=view&id=1wlkp0UHwockAE6bZxce8lhn15HHshLKp,https://drive.google.com/uc?export=view&id=1AnksD9_0Qb1WWTuHjBoRp3adUWmwsh64
